Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Rice,Sri Lanka,Trincomalee,2017,3,99.66,31.54,76.88,70.67,18.0,16.04,4.45
Sugarcane,Sri Lanka,Kurunegala,2020,3,61.02,34.05,81.77,61.64,18.68,15.19,71.73
Rubber,Sri Lanka,Kegalle,2017,3,158.03,32.63,82.07,60.28,18.0,16.52,1.73
Cinnamon,Sri Lanka,Galle,2024,12,130.69,25.46,76.01,58.44,23.6,24.2,0.79
Rubber,Sri Lanka,Matara,2016,12,197.18,31.39,73.52,61.27,23.09,15.0,1.54
Rubber,Sri Lanka,Matara,2023,7,267.57,28.97,85.01,70.92,26.23,15.0,1.52
Rubber,Sri Lanka,Kegalle,2022,8,199.76,32.68,75.24,66.8,26.28,18.95,1.51
Cinnamon,Sri Lanka,Galle,2018,10,155.76,28.18,70.76,51.7,18.0,15.47,0.67
Rubber,Sri Lanka,Kalutara,2018,9,226.93,28.83,74.81,63.34,25.41,20.35,1.6
Cinnamon,Sri Lanka,Kalutara,2021,5,184.01,28.25,76.02,60.16,25.78,24.61,0.48
Tea,Sri Lanka,Kandy,2023,7,271.56,20.53,80.46,67.7,23.88,21.51,2.44
Rubber,Sri Lanka,Galle,2017,11,167.53,30.43,77.8,55.63,24.19,15.0,1.62
Rubber,Sri Lanka,Ratnapura,2018,8,203.25,29.45,80.49,64.58,21.37,25.45,1.45
Cinnamon,Sri Lanka,Matara,2025,8,193.91,24.74,76.08,47.46,22.09,18.27,0.49
Tea,Sri Lanka,Ratnapura,2016,11,210.59,23.9,78.65,64.47,24.43,15.0,2.36
Sugarcane,Sri Lanka,Anuradhapura,2022,8,146.4,30.96,83.25,75.29,21.84,16.62,82.55
Sugarcane,Sri Lanka,Anuradhapura,2020,9,108.66,30.23,88.04,74.08,29.77,23.61,77.51
Tea,Sri Lanka,Badulla,2015,11,162.09,20.62,76.17,54.21,19.2,15.27,2.19
Sugarcane,Sri Lanka,Anuradhapura,2024,12,69.0,28.38,78.7,57.47,26.63,16.82,76.51
Tea,Sri Lanka,Ratnapura,2018,5,319.49,26.83,77.7,56.33,21.86,18.91,1.68
Sugarcane,Sri Lanka,Anuradhapura,2020,9,123.2,26.84,78.69,63.08,23.38,16.18,80.36
Rubber,Sri Lanka,Kegalle,2022,9,186.83,29.06,75.52,58.22,21.57,16.4,1.77
Cinnamon,Sri Lanka,Galle,2024,7,202.72,30.09,80.75,78.76,20.18,17.04,0.6
Sugarcane,Sri Lanka,Anuradhapura,2022,7,89.66,31.9,88.82,88.72,29.05,17.26,71.48
Cinnamon,Sri Lanka,Kalutara,2015,6,187.74,30.77,84.82,63.7,22.53,26.65,0.59
Tea,Sri Lanka,Kandy,2021,10,187.3,25.29,88.16,75.29,25.24,27.8,2.74
Rice,Sri Lanka,Polonnaruwa,2019,10,185.74,30.61,77.01,64.75,28.0,19.74,4.29
Cinnamon,Sri Lanka,Kalutara,2020,11,129.16,25.31,74.7,61.06,22.2,21.67,0.57
Tea,Sri Lanka,Matara,2016,2,119.61,21.94,80.85,70.27,31.12,17.39,2.33
Rice,Sri Lanka,Kurunegala,2023,6,199.99,28.35,88.12,80.1,26.12,28.0,4.75
Rubber,Sri Lanka,Matara,2025,2,159.42,23.08,79.48,61.15,26.55,20.03,1.68
Cinnamon,Sri Lanka,Matara,2016,5,170.36,29.71,77.37,64.56,19.09,21.37,0.76
Cinnamon,Sri Lanka,Matara,2021,6,234.31,23.09,71.66,71.01,25.02,19.01,0.65
Rubber,Sri Lanka,Ratnapura,2022,5,175.53,32.19,74.63,64.32,19.12,19.0,1.44
Tea,Sri Lanka,Matara,2024,6,212.74,22.14,77.21,63.03,28.48,26.74,2.19
Rice,Sri Lanka,Trincomalee,2022,2,130.56,28.59,74.44,60.25,23.21,15.12,4.33
Cinnamon,Sri Lanka,Matara,2023,3,94.42,27.18,79.88,61.95,24.03,20.43,0.71
Rice,Sri Lanka,Batticaloa,2023,9,193.81,27.64,72.97,56.83,18.0,16.01,4.91
Rice,Sri Lanka,Anuradhapura,2022,8,207.77,28.18,75.69,54.11,21.01,16.78,5.24
Cinnamon,Sri Lanka,Kalutara,2021,10,166.14,29.58,81.68,64.88,21.7,22.27,0.53
Rice,Sri Lanka,Kurunegala,2016,7,202.19,31.81,83.98,63.09,24.63,21.06,4.15
Cinnamon,Sri Lanka,Matara,2024,5,218.26,25.72,79.6,77.37,21.31,18.98,0.57
Cinnamon,Sri Lanka,Galle,2019,2,123.59,24.18,68.33,53.41,18.0,15.0,0.54
Rubber,Sri Lanka,Kegalle,2016,8,225.74,27.51,72.49,64.68,19.69,25.71,1.83
Sugarcane,Sri Lanka,Kurunegala,2023,6,131.95,28.99,77.03,54.21,25.48,23.65,74.71
Tea,Sri Lanka,Matara,2016,2,173.64,19.52,68.79,57.9,18.52,16.2,2.25
Sugarcane,Sri Lanka,Kurunegala,2020,12,55.63,30.81,80.88,69.59,26.97,20.96,76.56
Sugarcane,Sri Lanka,Polonnaruwa,2016,11,61.39,30.63,75.01,58.32,20.35,15.0,82.37
Sugarcane,Sri Lanka,Anuradhapura,2022,1,75.52,28.79,77.21,61.16,19.45,18.34,71.49
Rubber,Sri Lanka,Ratnapura,2023,9,167.06,33.76,70.12,51.94,18.35,17.2,1.41
Rubber,Sri Lanka,Ratnapura,2023,10,168.28,25.9,71.68,58.59,22.35,21.84,1.58
Rice,Sri Lanka,Kurunegala,2018,1,99.35,24.34,78.53,70.76,20.24,21.77,4.59
Rubber,Sri Lanka,Galle,2016,3,132.0,31.4,77.23,63.0,29.3,17.82,1.47
Sugarcane,Sri Lanka,Kurunegala,2023,5,117.45,30.08,74.43,72.48,28.88,17.56,71.75
Cinnamon,Sri Lanka,Galle,2023,1,175.2,23.47,74.86,55.54,23.15,22.11,0.67
Rice,Sri Lanka,Anuradhapura,2022,9,229.11,30.22,80.87,57.91,24.33,16.54,4.37
Rubber,Sri Lanka,Kegalle,2021,9,240.23,30.21,77.08,63.14,26.84,15.06,1.61
Rubber,Sri Lanka,Kalutara,2025,4,139.49,26.03,86.63,79.83,29.23,28.0,1.57
Sugarcane,Sri Lanka,Polonnaruwa,2025,6,145.23,33.91,79.34,50.61,32.0,21.09,79.58
Rice,Sri Lanka,Anuradhapura,2015,6,211.52,29.04,77.94,52.14,25.32,18.73,4.41
Cinnamon,Sri Lanka,Kalutara,2019,11,185.35,25.7,74.4,57.21,20.89,16.68,0.53
Rubber,Sri Lanka,Kegalle,2025,2,143.68,32.05,75.37,52.88,21.39,21.77,1.69
Tea,Sri Lanka,Matara,2021,8,209.01,27.79,81.03,74.24,19.44,15.0,2.23
Tea,Sri Lanka,Ratnapura,2017,9,259.12,22.64,83.19,80.57,28.14,24.09,2.29
Cinnamon,Sri Lanka,Galle,2020,8,186.51,27.05,88.57,74.37,25.66,15.0,0.59
Rubber,Sri Lanka,Matara,2024,1,130.19,26.06,85.42,77.04,21.88,17.96,1.53
Rice,Sri Lanka,Batticaloa,2023,9,128.34,30.87,72.32,50.48,20.25,18.67,4.18
Rubber,Sri Lanka,Kalutara,2023,9,225.94,33.78,83.38,65.9,28.68,21.55,1.63
Tea,Sri Lanka,Kandy,2024,2,156.24,19.24,72.9,61.61,29.79,15.63,2.8
Sugarcane,Sri Lanka,Kurunegala,2017,8,107.69,28.17,72.27,48.16,18.31,21.25,76.68
Rubber,Sri Lanka,Matara,2021,6,269.92,33.9,78.26,62.04,25.44,20.25,1.59
Rice,Sri Lanka,Batticaloa,2022,2,97.86,24.9,78.37,78.66,18.0,20.82,4.3
Sugarcane,Sri Lanka,Kurunegala,2022,9,93.24,26.22,78.51,58.43,23.68,15.39,72.37
Rubber,Sri Lanka,Kegalle,2025,7,252.25,33.84,72.48,63.23,19.18,15.0,1.46
Rice,Sri Lanka,Jaffna,2017,9,224.64,29.46,79.95,63.62,28.87,24.37,4.22
Sugarcane,Sri Lanka,Polonnaruwa,2025,4,64.1,36.75,72.85,65.09,20.11,20.07,73.71
Cinnamon,Sri Lanka,Matara,2024,2,145.74,25.29,82.2,77.99,22.57,28.0,0.64
Sugarcane,Sri Lanka,Polonnaruwa,2019,12,67.04,31.76,90.03,83.98,32.0,20.96,71.24
Tea,Sri Lanka,Kandy,2025,9,191.51,19.84,88.03,73.42,30.51,25.64,2.23
Rubber,Sri Lanka,Ratnapura,2018,3,130.02,26.72,80.43,65.58,27.9,16.52,1.54
Tea,Sri Lanka,Nuwara Eliya,2023,4,139.43,22.19,75.4,51.42,21.72,17.7,2.39
Rubber,Sri Lanka,Kalutara,2024,8,186.6,32.53,81.02,73.84,26.63,15.0,1.5
Rice,Sri Lanka,Batticaloa,2021,9,168.45,31.13,74.45,59.07,29.59,17.7,4.86
Rice,Sri Lanka,Anuradhapura,2023,10,141.98,27.53,90.37,74.2,22.38,21.11,4.44
Sugarcane,Sri Lanka,Kurunegala,2018,12,79.27,28.48,75.27,58.57,18.0,15.0,78.41
Tea,Sri Lanka,Badulla,2025,1,166.99,22.25,71.49,50.57,26.78,19.33,2.6
Rice,Sri Lanka,Jaffna,2024,2,112.06,27.69,79.98,64.19,29.38,23.09,4.5
Rubber,Sri Lanka,Galle,2022,11,190.51,25.87,79.5,59.23,23.27,23.57,1.68
Tea,Sri Lanka,Badulla,2020,4,166.95,18.06,75.18,65.98,24.13,21.53,1.86
Sugarcane,Sri Lanka,Anuradhapura,2020,3,49.45,31.48,83.66,58.3,23.22,16.38,69.64
Cinnamon,Sri Lanka,Matara,2023,3,100.62,25.32,81.67,66.0,27.93,17.23,0.5
Tea,Sri Lanka,Matara,2019,12,243.07,18.82,84.94,65.54,31.89,23.08,2.25
Rice,Sri Lanka,Polonnaruwa,2018,3,89.55,25.73,68.65,48.54,19.62,16.13,3.96
Cinnamon,Sri Lanka,Matara,2016,6,230.6,26.52,80.49,71.29,18.0,21.4,0.74
Cinnamon,Sri Lanka,Galle,2021,7,180.85,27.35,85.11,75.48,22.31,17.95,0.78
Rice,Sri Lanka,Kurunegala,2021,5,195.71,31.69,81.33,58.42,23.1,15.0,4.8
Rubber,Sri Lanka,Galle,2024,12,173.18,32.03,81.18,63.81,26.62,25.56,1.34
Rice,Sri Lanka,Kurunegala,2023,12,139.28,30.21,88.68,79.18,26.78,22.75,5.29
Sugarcane,Sri Lanka,Polonnaruwa,2022,12,61.0,28.92,78.2,63.26,23.86,19.31,80.11
Tea,Sri Lanka,Kandy,2024,6,283.61,19.23,80.81,54.35,30.07,20.95,2.05
Rubber,Sri Lanka,Galle,2018,3,144.6,30.08,79.79,59.81,29.41,19.92,1.45
Sugarcane,Sri Lanka,Anuradhapura,2015,4,79.55,36.5,78.32,67.37,23.67,20.15,69.92
Sugarcane,Sri Lanka,Kurunegala,2019,6,138.26,33.89,72.17,58.56,26.05,18.81,74.94
Sugarcane,Sri Lanka,Anuradhapura,2021,4,108.89,36.13,69.32,65.9,18.0,15.0,72.98
Cinnamon,Sri Lanka,Galle,2015,4,153.0,29.57,77.97,58.7,18.0,19.73,0.5
Sugarcane,Sri Lanka,Anuradhapura,2015,9,148.42,33.32,71.64,56.48,25.71,15.0,79.76
Tea,Sri Lanka,Badulla,2022,6,166.05,23.75,79.68,61.65,24.35,24.1,2.17
Cinnamon,Sri Lanka,Matara,2020,5,180.02,25.43,74.21,60.17,19.02,18.7,0.78
Sugarcane,Sri Lanka,Anuradhapura,2015,4,85.57,30.95,79.04,63.51,24.53,27.7,75.25
Sugarcane,Sri Lanka,Kurunegala,2016,2,61.59,33.06,75.79,68.25,21.41,18.94,79.46
Sugarcane,Sri Lanka,Kurunegala,2023,2,83.47,25.46,74.73,60.89,18.0,23.19,71.28
Cinnamon,Sri Lanka,Galle,2015,7,176.0,31.14,89.88,66.25,23.78,21.92,0.73
Sugarcane,Sri Lanka,Anuradhapura,2021,2,65.95,29.27,75.56,51.3,22.7,19.9,79.81
Sugarcane,Sri Lanka,Anuradhapura,2025,9,96.7,29.07,77.77,69.62,19.26,19.11,67.99
Sugarcane,Sri Lanka,Polonnaruwa,2016,5,128.27,33.99,73.45,58.09,18.35,16.86,76.05
Rice,Sri Lanka,Jaffna,2018,8,180.7,30.59,72.65,45.28,25.81,18.73,4.5
Sugarcane,Sri Lanka,Polonnaruwa,2019,1,74.39,33.12,77.76,66.47,18.81,17.03,69.88
Sugarcane,Sri Lanka,Kurunegala,2025,7,168.98,34.44,81.73,67.0,23.3,23.16,76.17
Rice,Sri Lanka,Trincomalee,2020,1,128.83,26.48,75.15,59.38,18.55,18.75,3.74
Sugarcane,Sri Lanka,Anuradhapura,2022,4,83.5,26.0,69.98,57.3,22.17,15.0,82.39
Cinnamon,Sri Lanka,Galle,2021,3,97.3,23.2,69.8,50.64,19.82,16.57,0.75
Rubber,Sri Lanka,Ratnapura,2025,8,242.66,28.04,77.56,64.32,22.51,17.32,1.53
Rice,Sri Lanka,Anuradhapura,2016,11,135.17,30.77,72.38,61.26,22.98,15.0,4.88
Tea,Sri Lanka,Matara,2016,5,235.7,24.09,72.52,60.27,22.57,16.03,2.23
Rubber,Sri Lanka,Kalutara,2025,8,179.58,32.75,76.3,62.24,24.72,18.32,1.4
Rubber,Sri Lanka,Matara,2018,2,162.73,29.68,77.98,69.04,25.91,17.2,1.64
Cinnamon,Sri Lanka,Galle,2025,6,196.93,25.39,77.39,69.05,21.54,17.11,0.62
Cinnamon,Sri Lanka,Galle,2019,6,171.64,29.42,81.04,67.11,28.12,21.4,0.71
Tea,Sri Lanka,Nuwara Eliya,2021,3,128.39,17.07,80.34,61.59,21.41,21.45,1.52
Sugarcane,Sri Lanka,Anuradhapura,2020,2,77.62,28.06,74.95,68.65,20.93,16.03,70.09
Rubber,Sri Lanka,Kegalle,2019,9,154.07,25.78,73.71,68.87,18.0,19.9,1.79
Rubber,Sri Lanka,Galle,2021,3,138.53,30.39,78.28,45.85,25.99,24.52,1.59
Tea,Sri Lanka,Badulla,2015,2,127.48,23.13,74.32,59.12,22.0,19.35,2.22
Tea,Sri Lanka,Matara,2019,3,134.75,18.32,83.9,62.23,28.03,17.59,2.31
Rubber,Sri Lanka,Kegalle,2024,11,195.98,31.38,73.63,61.4,18.58,17.26,1.48
Rubber,Sri Lanka,Kalutara,2025,5,292.94,34.65,78.13,61.37,25.6,19.41,1.6
Rubber,Sri Lanka,Galle,2019,7,235.83,28.3,72.33,61.36,19.68,24.51,1.61
Tea,Sri Lanka,Ratnapura,2020,8,263.91,26.23,73.52,60.41,19.35,15.0,2.32
Cinnamon,Sri Lanka,Matara,2017,4,138.16,27.49,75.06,56.43,26.99,22.26,0.63
Rubber,Sri Lanka,Matara,2024,5,176.37,25.94,67.7,48.22,20.46,15.0,1.48
Rubber,Sri Lanka,Galle,2024,5,223.9,35.49,75.5,72.3,19.85,19.64,1.35
Rubber,Sri Lanka,Kalutara,2025,11,161.73,28.33,81.98,67.89,18.0,15.0,1.61
Sugarcane,Sri Lanka,Polonnaruwa,2019,4,101.94,32.05,82.05,67.33,23.79,27.5,70.85
Rubber,Sri Lanka,Galle,2025,2,159.78,26.91,78.15,65.07,22.37,20.09,1.55
Rice,Sri Lanka,Batticaloa,2020,8,210.68,27.8,67.92,51.59,24.37,18.15,4.68
Rubber,Sri Lanka,Kalutara,2021,6,265.82,30.9,80.72,74.2,18.0,18.73,1.57
Sugarcane,Sri Lanka,Polonnaruwa,2018,11,69.73,32.62,76.53,64.25,24.34,18.63,77.37
Rice,Sri Lanka,Kurunegala,2016,3,98.65,30.57,82.37,51.68,29.09,28.0,4.36
Cinnamon,Sri Lanka,Galle,2018,1,138.93,25.64,78.64,49.9,18.61,21.43,0.64
Rubber,Sri Lanka,Galle,2020,4,129.5,29.12,71.88,61.37,21.78,23.34,1.37
Cinnamon,Sri Lanka,Galle,2023,6,184.58,30.29,80.93,69.86,24.79,18.66,0.59
Rubber,Sri Lanka,Matara,2025,11,136.08,32.01,74.42,53.05,18.99,22.16,1.6
Rubber,Sri Lanka,Ratnapura,2018,5,199.29,28.47,68.89,53.8,19.29,19.97,1.69
Rice,Sri Lanka,Trincomalee,2022,8,190.97,28.69,74.17,68.49,21.29,16.06,5.39
Tea,Sri Lanka,Badulla,2019,3,140.34,22.12,79.42,56.51,19.04,21.61,2.0
Rice,Sri Lanka,Trincomalee,2024,2,94.94,28.69,77.13,61.44,19.78,24.31,4.89
Rubber,Sri Lanka,Ratnapura,2023,7,233.91,32.38,85.57,73.52,25.75,27.15,1.69
Sugarcane,Sri Lanka,Kurunegala,2025,8,154.96,32.53,81.29,77.93,18.33,20.34,70.51
Tea,Sri Lanka,Ratnapura,2024,5,254.27,25.9,76.97,57.17,24.95,15.19,2.07
Sugarcane,Sri Lanka,Polonnaruwa,2022,8,110.59,33.03,78.04,54.8,22.05,26.11,77.57
Rubber,Sri Lanka,Ratnapura,2015,9,188.56,24.68,87.4,71.48,29.1,15.3,1.52
Rice,Sri Lanka,Kurunegala,2018,5,239.3,32.86,84.74,62.61,22.08,22.65,3.79
Tea,Sri Lanka,Ratnapura,2025,11,239.17,21.71,77.24,53.67,18.0,17.96,1.6
Rice,Sri Lanka,Jaffna,2018,3,74.78,23.08,76.46,56.88,18.86,17.7,4.4
Rice,Sri Lanka,Polonnaruwa,2022,7,187.78,28.31,80.55,54.19,20.68,22.18,4.43
Sugarcane,Sri Lanka,Kurunegala,2015,9,144.55,33.58,82.05,61.69,32.0,19.68,80.27
Rubber,Sri Lanka,Kegalle,2022,10,180.43,25.94,77.72,53.74,30.78,19.8,1.46
Sugarcane,Sri Lanka,Polonnaruwa,2016,9,112.4,33.35,71.37,53.34,22.35,15.0,71.92
Sugarcane,Sri Lanka,Kurunegala,2023,8,132.55,34.45,78.61,62.24,24.57,15.47,72.1
Rubber,Sri Lanka,Matara,2023,12,241.06,25.57,86.11,61.6,32.0,17.3,1.75
Cinnamon,Sri Lanka,Kalutara,2020,3,126.75,28.46,75.51,60.35,20.63,19.83,0.75
Tea,Sri Lanka,Nuwara Eliya,2023,8,270.84,20.14,77.57,52.75,27.57,17.39,2.02
Tea,Sri Lanka,Matara,2020,12,216.82,22.61,78.22,59.84,18.28,21.24,2.1
Rice,Sri Lanka,Polonnaruwa,2022,5,191.27,32.22,75.88,63.98,18.97,19.84,4.49
Sugarcane,Sri Lanka,Kurunegala,2025,5,123.0,34.14,77.43,55.15,20.26,18.94,77.04
Rubber,Sri Lanka,Kegalle,2017,11,143.4,28.02,71.06,55.18,25.96,15.0,1.65
Rice,Sri Lanka,Polonnaruwa,2015,11,133.55,25.07,77.65,60.96,23.78,20.31,4.07
Cinnamon,Sri Lanka,Matara,2021,5,167.04,26.39,80.79,78.38,24.43,19.81,0.81
Cinnamon,Sri Lanka,Matara,2016,12,136.58,24.03,82.39,60.06,23.43,20.59,0.81
Rubber,Sri Lanka,Kalutara,2019,11,194.36,32.7,74.9,70.35,19.46,15.0,1.65
Rubber,Sri Lanka,Galle,2015,1,214.28,27.68,85.17,67.07,20.94,27.88,1.68
Sugarcane,Sri Lanka,Polonnaruwa,2016,8,141.18,30.77,70.03,49.45,18.0,16.19,81.44
Sugarcane,Sri Lanka,Anuradhapura,2019,9,98.1,31.06,78.63,65.15,22.54,23.79,76.39
Rubber,Sri Lanka,Matara,2023,1,161.65,29.5,79.4,63.71,26.53,16.34,1.69
Rubber,Sri Lanka,Ratnapura,2019,7,225.4,30.18,81.88,55.8,24.64,22.73,1.68
Rubber,Sri Lanka,Ratnapura,2020,1,196.58,29.23,79.52,74.56,20.84,20.1,1.37
Tea,Sri Lanka,Matara,2021,4,198.35,20.89,74.4,62.21,20.06,15.0,2.48
Cinnamon,Sri Lanka,Matara,2024,12,125.74,27.02,70.38,47.12,18.94,20.06,0.58
Tea,Sri Lanka,Nuwara Eliya,2021,3,149.46,23.92,83.34,82.46,24.21,17.36,2.55
Rubber,Sri Lanka,Kegalle,2017,7,252.38,28.88,78.17,45.86,25.93,24.38,1.53
Tea,Sri Lanka,Matara,2024,11,195.16,22.89,70.69,58.25,22.34,24.77,2.27
Tea,Sri Lanka,Nuwara Eliya,2025,9,225.7,26.06,63.94,55.42,22.05,15.0,2.09
Rice,Sri Lanka,Jaffna,2023,10,169.26,30.4,81.88,61.35,25.39,18.59,4.66
Rubber,Sri Lanka,Kegalle,2021,7,262.07,29.44,80.13,60.99,18.97,18.76,1.23
Rice,Sri Lanka,Batticaloa,2025,5,192.6,27.97,79.3,72.48,23.02,18.28,5.11
Rubber,Sri Lanka,Galle,2017,2,148.67,23.3,78.89,60.34,18.74,15.0,1.46
Tea,Sri Lanka,Matara,2024,6,275.48,21.67,69.9,48.8,20.59,15.0,2.39
Rice,Sri Lanka,Polonnaruwa,2018,12,126.62,26.74,88.5,82.58,27.48,24.51,4.9
Rice,Sri Lanka,Kurunegala,2023,7,217.4,27.46,71.99,60.13,20.86,15.0,4.3
Tea,Sri Lanka,Nuwara Eliya,2015,7,280.09,19.67,75.33,57.67,18.94,15.0,1.69
Rice,Sri Lanka,Batticaloa,2019,6,184.25,28.72,82.41,61.89,27.84,20.59,5.0
Tea,Sri Lanka,Kandy,2022,11,190.19,26.76,82.15,63.44,24.44,25.85,2.57
Tea,Sri Lanka,Ratnapura,2015,2,212.0,23.05,76.76,62.05,25.53,25.57,2.26
Rubber,Sri Lanka,Matara,2017,5,214.82,26.47,82.6,71.61,23.58,19.83,1.69
Sugarcane,Sri Lanka,Anuradhapura,2023,11,100.29,33.61,73.35,62.44,27.54,18.17,75.19
Tea,Sri Lanka,Kandy,2022,3,138.35,21.55,83.75,68.59,31.37,26.61,2.15
Rubber,Sri Lanka,Kegalle,2021,12,165.89,27.0,74.77,62.95,28.34,18.75,1.57
Cinnamon,Sri Lanka,Kalutara,2019,6,228.16,27.8,74.63,46.56,30.18,26.85,0.72
Tea,Sri Lanka,Badulla,2023,12,233.85,23.04,78.13,66.51,18.55,20.72,2.11
Cinnamon,Sri Lanka,Galle,2016,4,149.27,29.0,77.71,57.15,27.72,16.34,0.8
Sugarcane,Sri Lanka,Polonnaruwa,2016,10,89.73,27.91,73.82,63.71,18.0,15.0,72.95
Tea,Sri Lanka,Matara,2022,6,320.08,23.54,75.62,64.13,23.54,25.46,2.13
Cinnamon,Sri Lanka,Galle,2019,7,206.17,25.49,78.14,60.56,18.0,19.91,0.88
Sugarcane,Sri Lanka,Polonnaruwa,2024,11,76.88,28.19,79.21,61.17,24.32,17.82,70.25
Rubber,Sri Lanka,Kegalle,2021,6,222.31,32.66,83.06,63.47,25.36,16.79,1.71
Tea,Sri Lanka,Matara,2015,7,265.61,23.68,80.92,65.11,26.21,20.12,1.93
Tea,Sri Lanka,Nuwara Eliya,2024,5,319.28,22.76,78.74,60.88,19.94,25.1,2.67
Rubber,Sri Lanka,Ratnapura,2018,3,133.07,28.44,75.58,59.97,19.97,18.41,1.62
Rice,Sri Lanka,Batticaloa,2024,2,121.72,29.54,70.59,62.97,20.82,17.78,4.68
Tea,Sri Lanka,Badulla,2024,5,259.03,20.4,76.56,67.45,24.61,15.0,2.66
Cinnamon,Sri Lanka,Galle,2025,6,221.12,28.2,71.69,60.76,22.03,24.97,0.52
Cinnamon,Sri Lanka,Kalutara,2017,1,133.81,23.97,82.49,63.41,32.0,24.61,0.64
Cinnamon,Sri Lanka,Galle,2015,6,236.22,32.03,71.58,66.55,26.01,16.58,0.72
Cinnamon,Sri Lanka,Matara,2025,11,192.01,28.71,74.48,56.33,22.26,15.0,0.7
Tea,Sri Lanka,Badulla,2016,3,119.28,22.18,80.16,56.6,23.55,19.72,2.54
Tea,Sri Lanka,Kandy,2021,4,133.21,27.5,82.58,70.49,23.16,15.0,2.54
Tea,Sri Lanka,Kandy,2025,10,161.42,22.04,83.5,53.19,32.0,15.0,2.25
Rubber,Sri Lanka,Kegalle,2015,10,135.63,30.59,76.2,60.81,27.63,23.21,1.53
Tea,Sri Lanka,Ratnapura,2023,11,167.21,26.16,72.28,55.41,25.15,21.79,2.15
Rice,Sri Lanka,Polonnaruwa,2024,11,151.06,25.0,80.58,75.23,20.99,24.07,4.31
Sugarcane,Sri Lanka,Anuradhapura,2025,7,168.38,28.72,72.17,60.03,21.63,24.56,80.66
Cinnamon,Sri Lanka,Matara,2021,5,185.21,28.9,76.85,68.98,23.95,15.26,0.72
Rubber,Sri Lanka,Matara,2017,5,237.42,32.41,71.03,47.26,23.48,20.08,1.51
Rice,Sri Lanka,Anuradhapura,2015,9,207.02,31.88,77.85,60.19,28.59,27.85,4.8
Rubber,Sri Lanka,Matara,2019,11,201.81,31.42,74.35,56.66,27.18,21.06,1.57
Sugarcane,Sri Lanka,Polonnaruwa,2015,11,96.64,32.47,74.98,54.43,19.49,15.0,73.29
Tea,Sri Lanka,Ratnapura,2016,3,135.02,21.5,82.37,61.81,21.94,16.7,2.11
Sugarcane,Sri Lanka,Polonnaruwa,2019,1,101.43,30.09,77.69,60.18,21.85,19.37,67.14
Rice,Sri Lanka,Polonnaruwa,2023,1,121.49,24.29,80.67,51.36,28.63,25.98,5.56
Cinnamon,Sri Lanka,Galle,2017,11,173.43,28.76,77.65,60.75,18.9,16.84,0.66
Sugarcane,Sri Lanka,Anuradhapura,2023,7,120.61,29.95,68.6,64.79,18.0,21.94,71.07
Rubber,Sri Lanka,Matara,2020,7,251.45,28.06,88.54,74.18,30.6,17.51,1.57
Rubber,Sri Lanka,Kegalle,2024,8,171.28,32.19,79.07,64.05,21.87,20.82,1.59
Rubber,Sri Lanka,Kegalle,2016,11,238.99,29.11,83.69,64.74,29.02,20.75,1.86
Sugarcane,Sri Lanka,Polonnaruwa,2024,11,74.12,26.54,75.13,59.65,22.87,20.89,75.71
Rubber,Sri Lanka,Kalutara,2017,6,241.11,30.14,73.34,55.1,25.43,20.26,1.59
Rubber,Sri Lanka,Matara,2025,11,178.95,29.1,80.83,72.32,22.2,21.29,1.37
Rice,Sri Lanka,Anuradhapura,2018,7,211.58,31.25,71.18,53.3,18.45,15.07,4.5
Tea,Sri Lanka,Badulla,2021,9,246.16,26.16,80.13,66.63,26.86,22.96,2.23
Cinnamon,Sri Lanka,Galle,2023,3,129.34,23.69,78.46,68.01,25.39,15.0,0.62
Sugarcane,Sri Lanka,Polonnaruwa,2018,7,136.06,33.87,76.89,59.07,22.08,23.39,72.43
Sugarcane,Sri Lanka,Polonnaruwa,2019,2,72.73,31.7,76.3,57.49,21.45,23.32,69.25
Cinnamon,Sri Lanka,Galle,2019,7,215.12,30.09,86.72,71.33,20.1,22.2,0.75
Tea,Sri Lanka,Nuwara Eliya,2018,11,194.52,18.17,83.26,60.64,18.0,23.03,2.24
Rice,Sri Lanka,Kurunegala,2025,5,213.28,31.92,80.45,64.71,24.13,24.92,5.18
Cinnamon,Sri Lanka,Galle,2016,3,107.02,28.77,72.79,60.8,19.27,18.71,0.85
Rubber,Sri Lanka,Kegalle,2025,6,204.27,31.83,82.0,62.51,32.0,21.39,1.74
Sugarcane,Sri Lanka,Anuradhapura,2024,6,114.07,32.78,76.02,83.6,28.41,15.0,74.84
Rubber,Sri Lanka,Kalutara,2020,7,236.92,31.87,77.54,67.31,26.99,16.16,1.69
Tea,Sri Lanka,Badulla,2022,6,256.12,26.0,74.73,51.0,26.09,18.73,2.3
Sugarcane,Sri Lanka,Kurunegala,2025,6,99.1,30.74,73.71,59.34,18.0,24.07,75.93
Sugarcane,Sri Lanka,Kurunegala,2018,10,108.18,33.43,81.21,73.6,29.13,19.47,72.63
Rubber,Sri Lanka,Kalutara,2015,2,136.8,29.14,84.82,77.1,21.04,27.91,1.54
Tea,Sri Lanka,Ratnapura,2016,6,269.53,25.94,76.17,53.94,28.4,17.57,1.83
Rice,Sri Lanka,Jaffna,2018,1,111.0,26.61,76.77,58.54,18.0,16.67,3.95
